source,rating,title,text,date
App Store,3,"Onboarding fine, just slow","Nothing broken, but bank account linking step took an extra day to confirm compared to other apps.",2026-06-07
Play Store,2,Withdrawal ETA missing,"No clear ETA shown for redemption anywhere in the app, just a generic 'processing' label that doesn't update.",2026-06-09
App Store,1,Statement totals wrong,"Capital gains total in the PDF doesn't match the in-app summary. Had to manually recalculate for tax filing.",2026-06-11
Play Store,4,Payments mostly smooth,"UPI payments work fine most of the time, only had one failed transaction in the last two months.",2026-06-13
App Store,2,KYC support unhelpful,"Support just told me to 'wait for the team to review' with zero visibility into what's actually pending.",2026-06-15
Play Store,1,Withdrawal support unresponsive,"Raised two tickets about a delayed withdrawal, both closed with a canned response and no real resolution.",2026-06-16
App Store,5,Reliable for SIPs,"Six months in, SIPs have never failed once. Very consistent experience for long-term investing.",2026-06-17
Play Store,3,Statements ok now,"PDF generation is faster than before, though the layout could still be clearer for tax purposes.",2026-06-19
App Store,2,Onboarding rejected twice,"Address proof got rejected twice for being 'not clear' despite being a scanned government document.",2026-06-21
Play Store,1,Duplicate SIP debit,"Charged twice for the same monthly SIP again this cycle. This is the second time this has happened.",2026-06-22
App Store,4,Withdrawal within a day,"Redemption credited within about 20 hours this time, noticeably better than a few months back.",2026-06-23
Play Store,2,"KYC rejected, no reason","Verification failed with just a generic error code, no explanation of what document or field was wrong.",2026-06-25
App Store,1,Payment gateway error,"Tried adding funds via card, got a generic gateway error with no details. Had to switch to UPI instead.",2026-06-26
Play Store,5,Good statement clarity,"Yearly summary statement is clean and easy to read now, filed my taxes with it directly.",2026-06-28
App Store,3,Withdrawal slower than expected,"Took about 3 days for the redemption to reflect, app said 'usually 24-48 hours' so a bit off from stated SLA.",2026-06-29
Play Store,1,KYC verification loop again,"Same KYC loop issue as other users mention here, verified once, asked again a week later for no clear reason.",2026-06-30
App Store,2,Autopay mandate confusion,"UPI autopay mandate setup screen doesn't clearly explain what happens if the bank rejects the mandate.",2026-07-02
Play Store,4,Onboarding smoother now,"Signup and KYC together took under a day this time, an improvement from my last attempt a few months ago.",2026-07-04
App Store,1,Withdrawal delayed with no update,"Redemption has been pending 4 days, no push notification or email update on status at all.",2026-07-05
Play Store,2,Payment refund slow,"Refund for a failed UPI payment took 4 business days to land back in my account.",2026-07-07
App Store,5,Great fund research tools,"The research reports and fund comparison tools genuinely help with decision making before investing.",2026-07-08
Play Store,1,KYC document loop,"Uploaded the same PAN card three times, rejected each time with the exact same vague error message.",2026-07-10
App Store,3,Statement PDF slow to load,"Takes a while to generate the capital gains PDF, sometimes times out and needs a retry.",2026-07-11
Play Store,2,Withdrawal support canned replies,"Support chat gives the same templated 'please wait 24-48 hours' message regardless of how long it's already been.",2026-07-13
